m;154311;-86771;28923;69360
m;154323;-86787;28929;69512
m;154335;-86802;28934;72142
m;154346;-86817;28939;72531
m;154356;-86831;28943;71399
m;154368;-86847;28949;70219
m;154379;-86862;28954;69040
m;154389;-86877;28959;69441
m;154399;-86892;28964;68728
m;154411;-86907;28969;65714
m;154421;-86921;28973;65007
m;154433;-86937;28979;65527
m;154444;-86952;28984;64154
m;154456;-86967;28989;63762
m;154466;-86981;28993;64149
m;154477;-86997;28999;64729
m;154487;-87012;29004;66171
m;154498;-87027;29009;69062
m;154508;-87041;29013;70329
m;154520;-87057;29019;68573
m;154531;-87072;29024;69483
m;154542;-87086;29028;71660
m;154553;-87102;29034;71112
m;154563;-87117;29039;72158
m;154573;-87132;29044;72412
m;154584;-87146;29048;71731
m;154596;-87162;29054;73378
m;154607;-87177;29059;72971
m;154618;-87192;29064;71819
m;154630;-87207;29069;71135
m;154640;-87221;29073;70526
m;154651;-87237;29079;68832
m;154661;-87252;29084;67868
m;154672;-87266;29088;66708
m;154684;-87282;29094;68239
m;154695;-87297;29099;69391
m;154705;-87311;29103;67802
m;154717;-87327;29109;71227
m;154728;-87342;29114;73491
m;154739;-87357;29119;74307
m;154749;-87372;29124;73790
m;154760;-87386;29128;71247
m;154772;-87402;29134;69313
m;154782;-87416;29138;69623
m;154795;-87432;29144;66933
m;154806;-87447;29149;63838
m;154817;-87462;29154;61521
m;154828;-87477;29159;61333
m;154839;-87491;29163;63916
m;154850;-87507;29169;65303
m;154861;-87522;29174;66405
m;154872;-87537;29179;69167
m;154883;-87551;29183;69979
m;154894;-87567;29189;67174
m;154905;-87582;29194;65680
m;154915;-87596;29198;63654
m;154927;-87612;29204;64045
m;154937;-87627;29209;64480
m;154948;-87642;29214;65327
m;154958;-87656;29218;66205
m;154971;-87672;29224;66905
m;154982;-87687;29229;67486
m;154993;-87702;29234;67679
m;155004;-87717;29239;68471
m;155015;-87731;29243;70321
m;155026;-87747;29249;69665
m;155036;-87762;29254;70630
m;155047;-87777;29259;72591
m;155059;-87792;29264;72366
m;155069;-87806;29268;73984
m;155080;-87822;29274;74922
m;155091;-87837;29279;76284
m;155102;-87852;29284;74556
m;155112;-87866;29288;74099
m;155123;-87882;29294;75201
m;155134;-87897;29299;75390
m;155146;-87912;29304;73205
m;155157;-87927;29309;71894
m;155167;-87941;29313;69580
m;155179;-87957;29319;67093
m;155189;-87972;29324;66748
m;155199;-87987;29329;66743
m;155209;-88001;29333;67236
m;155222;-88017;29339;67815
m;155233;-88032;29344;68501
m;155244;-88047;29349;69338
m;155255;-88062;29354;69922
m;155266;-88076;29358;71132
m;155277;-88092;29364;70938
m;155287;-88107;29369;70134
m;155297;-88122;29374;71288
m;155308;-88136;29378;71518
m;155320;-88152;29384;70095
m;155331;-88167;29389;71516
m;155342;-88182;29394;72771
m;155354;-88197;29399;74087
m;155364;-88211;29403;73706
m;155375;-88227;29409;74468
m;155385;-88242;29414;72837
m;155397;-88257;29419;72995
m;155407;-88271;29423;74467
m;155419;-88287;29429;75294
m;155430;-88302;29434;77966
m;155442;-88317;29439;78313
m;155452;-88331;29443;76341
m;155463;-88347;29449;75953
m;155473;-88362;29454;72488
m;155485;-88377;29459;69214
m;155495;-88391;29463;67925
m;155507;-88407;29469;67153
m;155518;-88422;29474;66712
m;155530;-88437;29479;67276
m;155541;-88452;29484;67901
m;155551;-88466;29488;70075
m;155563;-88482;29494;70511
m;155573;-88497;29499;69832
m;155584;-88512;29504;71341
m;155595;-88527;29509;74320
m;155606;-88541;29513;75518
m;155617;-88557;29519;75970
m;155628;-88572;29524;76364
m;155638;-88587;29529;73877
m;155649;-88601;29533;73971
m;155660;-88617;29539;74112
m;155670;-88631;29543;74492
m;155682;-88647;29549;74155
m;155694;-88662;29554;72921
m;155705;-88677;29559;72551
